,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo256,"""PERMANÊNCIA NA UNIVERSIDADE:O QUE DIZEM OS ESTUDANTES INDÍGENAS DA UNIVERSIDADE ESTADUAL DO CENTRO-OESTE DO PARANÁ""","""Angnes_ J | Freitas_ M | Klozovski_ M | Mattos_ S | Costa_ Z""","""HOLOS, 2014, Vol.30(6), pp.190-205 [Periódico revisado por pares]""","""This article examines issues that hinder/hindered the retention of indigenous students at the Universidade Estadual do Centro Oeste do Paraná (UNICENTRO) from the vestibular specific to indigenous peoples in this state. This is a qualitative research conducted with time frame from 2002 to 2010, which had as its guiding principle the pursuit of understanding the meanings that underlie the utterances of indians in UNICENTRO. In search of understanding these senses, the voices (and silence) of the indigenous people were brought to the debate. It was felt that the difficulties of adaptation to low visibility political allies of these groups lining up in the academic community are some of the motivating factors in the cancellation of these UNICENTRO. © """,,"""ProQuest"""
artivo257,"""Cotas e mulheres nas eleições legislativas de 2014""","""Peixoto_ Vitor | Goulart_ Nelson | Da Silva_ Gabriel""","""Política & Sociedade, Jan-Apr 2016, Vol.15(32), pp.126-144 [Periódico revisado por pares]""","""Este artigo explora as consequências das inovaçôes institucionais introduzidas na legislaçâo eleitoral brasileira com as políticas de discriminaçâo positivas, como as cotas para as mulheres nas listas partidárias. Descreve a trajetória da legislaçâo pós-1988 e analisa o aumento significativo da participaçâo... © """,,"""ProQuest"""
artivo258,"""Raza y accion afirmativa: la implantacion de cuotas para estudiantes ""negros"" en una universidad Brasilena.""","""Cicalo_ Andre""","""Revista Brasileira de Direito Empresarial, 2016, Vol.2(2), p.1(23) [Periódico revisado por pares]""","""O trabalho em apreco se propoe a verificar como o Tribunal Superior do Trabalho soluciona a dualidade entre o dever legal de reservar vagas de trabalho para as pessoas com deficiencia e a dificuldade que os empresarios estao vivenciando para encontrar profissionais habilitados a ocupar esses postos de trabalho. Para solucionar a problematica, serao delineados os contornos juridicos acerca da livre iniciativa, funcao social da empresa e os fundamentos que determinam o dever para os empresarios de reserva de vagas. A pesquisa em apreco analisar a obrigacao juridica diante da realidade brasileira.""",,
artivo259,"""OS DESAFIOS PARA A INCLUSÃO DE PESSOAS COM DEFICIÊNCIA EM ORGANIZAÇÕES DA CONSTRUÇÃO CIVIL""","""Silva_ P | Neto_ M | Brito_ L | Barreto_ L | Gurgel_ F""","""HOLOS, 2017, Vol.33(7), pp.311-327 [Periódico revisado por pares]""","""The study made use of a descriptive and exploratory research with a qualitative approach, using a semi-structured interview guide to six managers in six organizations of the city of Mossoró, RN, subsequently subjected to content analysis. The results showed several barriers related to the hiring and retention of PcD in construction companies, in the view of respondents citing factors such as lack of productivity; false sense of security that allegedly harm the interests of business; the lack of standards that address on policies favoring the inclusion of these groups; the vision still limited managers about the performance and opportunities that DP may have to work in the business; and the problem of many of these professionals entering the companies with interests unrelated to the organization. Factors influencing labor productivity on construction sites: a state-ofthe-art literature review and a survey. Understanding diversity management practices: implications of institutional theory... © """,,"""ProQuest"""
artivo260,"""Participacao politica de mulheres na America Latina: o impacto de cotas e de lista fechada.(texto en portugues)(Ensayo)""","""Spohr_ Alexandre Piffero | Maglia_ Cristiana | Machado_ Gabriel | de Oliveira_ Joana Oliveira""","""Revista Estudo Feministas, 2016, Vol.24(2), p.417(25) [Periódico revisado por pares]""","""O presente estudo analisa a participacao politica de mulheres na America Latina a partir da presenca delas nos legislativos nacionais. Sao privilegiados fatores institucionais, destacadamente duas variaveis: existencia ou nao de cotas de genero e formato de lista eleitoral (aberta ou fechada). Objetiva-se responder se a combinacao de lista fechada e existencia de cotas potencializa a eleicao de mulheres nas camaras baixas ou unicas de 14 paises latino-americanos. Sao levantados dados historicos da presenca de mulheres, os quais permitiram agrupar os casos em tres conjuntos, posteriormente analisados de forma qualitativa. O estudo permitiu confirmar a hipotese do efeito cumulativo, tendo os paises que apresentam as duas variaveis demonstrado os melhores resultados; ao mesmo tempo, questiona-la, em parte, ao identificar paises como o Equador, o qual esta entre os que possuem maior porcentagem e apresenta somente uma das variaveis.""","""mulheres; America Latina; legislativo; participacao politica""","""Cengage Learning"""
artivo261,"""Jardim DF, Lopez LC, organizadores. Politicas da Diversidade-(In)Visibilidades, pluralidade e cidadania em uma perspectiva antropologica.(Jardim, DF)(Lopez, LC)(Resena de libro)""","""de Barros_ Nelson Filice""","""Ciencia & Saude Coletiva, 2014, Vol.19(12), p.4923(2) [Periódico revisado por pares]""","""""",,"""Cengage Learning"""
artivo262,"""Partidos políticos e gênero""","""Araújo_ Clara""","""Em Pauta, 2019, Vol.17(43), p.172(15) [Periódico revisado por pares]""","""Este artigo tem como objetivo apresentar os resultados da pesquisa qualitativa realizada no doutorado, relacionando educacao, politica de acao afirmativa na universidade e insercao no mercado de trabalho com 11 alunos cotistas egressos da Faculdade de Servico Social da Uerj. Os dados apresentados resultam da analise da trajetoria social dos estudantes cotistas ao longo da formacao na Educacao Basica, do ingresso e conclusao na universidade e da insercao no mercado de trabalho. Assim, buscou-se identificar as particularidades, dificuldades, conquistas e possiveis mudancas socioeconomicas alcancadas a partir das politicas de acao afirmativa, tendo como base os principios normativos de igualdade substancial, justica social e de eventual mobilidade social, derivadas da profissionalizacao e do alcance de melhores colocacoes no mercado de trabalho para este grupo etnico-social especifico beneficiado pelas cotas na Uerj.""","""educacao; trabalho; politica""","""Cengage Learning"""
artivo263,"""Um estudo sobre o pensamento social de jovens universitarios acerca da justica e das cotas raciais""","""Marques_ Thamiris | Santos_ Bruna Kappel Almeida Dos""","""Psicologia e Saber Social, 2015, Vol.4(1), p.108(18) [Periódico revisado por pares]""","""Este artigo visa estudar os conceitos de justica e de cotas raciais de jovens favoraveis, desfavoraveis e neutros em relacao as cotas raciais. Para entender a producao de saber referente a frequente rejeicao a essa tematica recorreu-se ao aporte teorico das Representacoes sociais. Para tanto, foram entrevistados de forma semiestruturada 14 estudantes divididos em tres posicionamentos frente as cotas raciais: favoraveis, desfavoraveis e neutros. A amostra foi composta por estudantes da Universidade do Estado do Rio de Janeiro (UERJ), Universidade Federal de Uberlandia (UFU) e Universidade Federal Rural do Rio de Janeiro (UFRRJ). Os dados foram analisados com uma analise de conteudo segundo Bardin (2000). A analise das 14 entrevistas obteve um total de 144 unidades de registro contabilizadas e inseridas em 55 unidades de significacao que, por sua vez, foram incluidos em 21 categorias. Os resultados demonstram que os participantes de todos os posicionamentos tiveram dificuldade de definir o conceito de justica. Alem disso, ligada a nocao de justica, surge a questao da igualdade, mas focalizada sob aspectos muito distintos para os sujeitos, pois enquanto os favoraveis defendem as cotas enquanto uma medida de promocao da igualdade, os desfavoraveis a criticam por acreditar que estas ferem a mesma. Os sujeitos desfavoraveis, apesar de rejeitarem as cotas para negros, demonstram aceitacao das cotas sociais, e os resultados referentes aos participantes neutros demonstram um grau de polifasia cognitiva, uma vez que levantam respostas distintas e contrarias umas as outras tipicas, mais precisamente apresentam argumentos dos dois posicionamentos polarizados referentes as cotas.""","""s cotas para negros; justica; representacoes sociais""","""Cengage Learning"""
artivo264,"""SANTOS, G. G. dos; SAMPAIO, S. M. R; CARVALHO, A. Observatório da vida estudantil: avaliação e qualidade no ensino superior: formar como e para que mundo? Salvador: Edufba, 2015. 342 p.""","""Franciele Daiane Rodrigues Resende May/Aug 2016""","""HOLOS, 2017, Vol.33(2), pp.349-359 [Periódico revisado por pares]""","""The Black November in the Federal Institute of Education, Science and Technology of Bahia (IFBA), Vitória da Conquista Campus, objectives to enforce the law n° 10.639/03 mandating basic education schools in Brazil to teach Brazilian African History and Culture . Based on this law, the coordination of this project since 2011 promotes a series of activities, such as ethnographic studies of black communities in the region, producing documentaries on Quilombo Communities, photographic exhibitions, research among students on campus with the amount of students who declare to be black, and which favor affirmative action (quotas), and how the perception of racism in the IFBA, especially in establishing an antiracist pedagogy that values and preserves the historical heritage of African-Brazilian culture, demonstrating possibilities in incorporating the proposal of the law in the daily life of the federal institutes. Black Consciousness, Law 10.639/03, IFBA, Affirmative Action, Vitória da... © """,,"""ProQuest"""
artivo265,"""Apresentacao.(Dossie 120 anos da Abolicao)""","""Ribeiro_ Matilde | Piovesan_ Flavia""","""Revista Estudo Feministas, Sept-Dec, 2008, Vol.16(3), p.879(7) [Periódico revisado por pares]""","""Este artigo utiliza um metodo pouco explorado nos estudos sobre hermeneutica no Brasil: o storytelling como meio de desvelamento do sentido das normas juridicas. A experiencia de um sujeito concreto, o autor deste texto, serve como ponto de partida para uma reflexao sobre a relevancia da raca no processo interpretativo. Parte-se do pressuposto de que o lugar social do interprete e as relacoes de poder que o definem determinam em grande parte a forma como ele compreende as funcoes do Direito. Isso significa que a analise da experiencia de grupos minoritarios pode ser uma referencia importante para o debate sobre as possibilidades de promocao da emancipacao social pelo sistema juridico. Assim, no lugar das tradicionais reflexoes teoricas sobre a igualdade, o artigo formula uma narrativa de carater contra-hegemonico ao propor uma compreensao desse principio a partir da voz de um sujeito subalterno.""","""storytelling, igualdade, hermeneutica, justica constitucional, identidade racial""","""Cengage Learning"""
artivo266,"""Trajetórias escolares de jovens assentados: estudo em Arinos/MG""","""Batista_ Elza | Mazon_ Marcia""","""Política & Sociedade, Sep-Dec 2015, Vol.14(31), pp.200-226 [Periódico revisado por pares]""","""This article discusses the educational trajectories of young people from ten families in agrarian reform settlements in the municipality of Arinos/MG. Situated on the spot settlements surrounding the Federal District, this city was the scene of the struggle... © """,,"""ProQuest"""
artivo267,"""A IMPLEMENTACAO DA EDUCACAO A DISTANCIA NO SISTEMA PENITENCIARIO: EFETIVACAO DOS DIREITOS FUNDAMENTAIS E RECONHECIMENTO DA DIGNIDADE HUMANA DO APENADO""","""Da Motta_ Ivan Dias | Sela_ Thiene Nogueira""","""Revista de Direito Brasileira, 2018, Vol.21, p.6(16) [Periódico revisado por pares]""","""O presente artigo reporta sobre o direito a educacao a distancia aos apenados que estejam cumprindo pena no sistema penitenciario, como forma de reconhecimento da dignidade humana do ser encarcerado e uma proposta de efetivacao de seus direitos fundamentais e da personalidade. A educacao e um instrumento de liberdade e integra o nucleo essencial dos direitos que conduzem a cidadania. E possivel afirmar que se trata de direito fundamental, necessario a formacao do ser humano, inserido no conteudo do minimo existencial, e, portanto, aspecto fundamental a dignificacao humana e a ressocializacao do apenado. O objetivo deste estudo e analisar, atraves do metodo hipotetico-dedutivo, que a educacao, na modalidade a distancia, proporciona a democratizacao do acesso a informacao, a cultura, a formacao e, consequentemente, as condicoes mais dignas de vida ao encarcerado. Assim, se comprovara que a educacao se trata de um elemento caracterizador do minimo existencial e o seu exercicio nao pode ser postergado, necessitando da atuacao prioritaria e efetiva do Estado. A principal forma de atuacao estatal e por intermedio das politicas publicas, que, nesta pesquisa, configuram-se nas politicas publicas educacionais de promocao humana.""","""Apenado Dignidade Humana Direito a Educacao Direito Fundamental Educacao a Distancia""","""Cengage Learning"""
artivo268,"""Relacoes de genero e interetnicas no Brasil da jornalista que mais publicou no ""Freidenker"", jornal Americano das livres pensadoras alemas no seculo 19""","""Schlindwein_ Izabela Liz | Grossi_ Miriam Pillar""","""Revista Artemis, 2013, Vol.15, p.85(9) [Periódico revisado por pares""","""As mulheres feministas alemas do seculo 19 encontravam dialogo entre o velho e o novo mundo no jornal americano ""Freidenker"" (""Livre Pensador""). A revolucionaria de 1848 Julie Engell-Gunther, que atuou na educacao brasileira para elites na sua estada pelo Brasil, e a dona do titulo de maior numero de artigos publicados neste periodico. O jornal de lingua alema que circulava em Milwaukee (Wisconsin) estava ligado ao movimento de mulheres ativistas que, como Engell-Gunther, emigraram da Alemanha desiludidas com a revolucao 1848. ""Quais as relacoes entre o novo e o velho mundo desta jornalista do seculo 19"", ""Quais as questoes implicitas de genero e raca?"" sao perguntas centrais deste artigo, construido a partir dos estudos de Eva Gortz e Eva Schock-Quinteros, do departamento de historia moderna e contemporanea da Universidade de Bremen. Na revisao de literatura, surgem autores da teoria pos-colonial, como Anibal Quijano; Chandra Mohanty; Rita Laura Segato e Maria Lugones.""","""Feminismos Interseccionalidades Jornal Alternativo Seculo 19 JulieEngell-Gunther""","""Cengage Learning"""
artivo269,"""Movimentos sociais e participaçao institucional: \introduzindo o debate""","""Scherer-Warren_ Ilse | Lüchmann_ Lígia""","""Política & Sociedade, Apr 2011, Vol.10(18), pp.9-24 [Periódico revisado por pares]""","""© """,,"""ProQuest"""
artivo270,"""Feminist Studies and Social Movements: Challenges of an Academic Activism in a Journal Format""","""Cristina Scheibe Wolff""","""Estudos Feministas, 2008, Vol.16(1), pp.81-86 [Periódico revisado por pares]""","""This article explains how Revista Estudos Feministas has related academic debates and feminist movement discussions in its trajectory, taking into consideration the way its publication, in which there have always been articles, dossiers and thematic sections, has been organized. © """,,"""ProQuest"""
artivo271,"""Reconhecer as diferenças para superar os (pre)conceitos de gênero e sexualidade na educação""","""Luana Borges Lemes 2018""","""Acta Scientiarum. Language and Culture (UEM), 2013, Vol.35(4), p.337(8) [Periódico revisado por pares]O presente trabalho tem por objetivo fazer um estudo sobre a polifonia em enunciados negativos selecionados de textos produzidos por estudantes indigenas no contexto do IV Vestibular dos Povos Indigenas no Parana (UEM, 2005). Entendida como um dos mecanismos de apreensao e explicitacao da polifonia, a negacao polemica constituira o eixo central de nossa analise. Nos enunciados analisados, observamos que: a) a polifonia pode se apresentar como estrategia do locutor para negar determinados pressupostos por meio da voz de outro locutor e eximindo-se, assim, da responsabilidade da negacao; b) a negacao pode se apresentar como um modo de resistencia do locutor indigena a determinados saberes que circulam na sociedade brasileira negando-se uma perspectiva presente no enunciado afirmativo. Palavras-chave: indigena, enunciado, negacao, polifonia, politicas de inclusao. Cengage Learning, Inc.""","""""",,"""Cengage Learning"""
artivo272,"""Mestiçagem, igualdade e afirmação da diferença –pensando a política de cotas na universidade""","""Azeredo_ Sandra""","""Estudos Feministas, 2005, Vol.13(3), p.738 [Periódico revisado por pares]""","""This essay was written during the intense debate in Brazil around the introduction of affirmative action in the public universities according to a project proposed by the Ministry of Education. Inspired in the work of Gloria Anzaldúa, this article contributes to the debate by discussing the notion of""",,
artivo273,"""O conceito de racismo institucional: aplicacoes no campo da saude/El concepto de racismo institucional: aplicaciones en el campo de la salud.(texto en portugues)""","""Lopez_ Laura Cecilia""","""Interface: Comunicacao Saude Educacao, 2012, Vol.16(40), p.121(14) [Periódico revisado por pares""","""O artigo propoe-se a refletir sobre o conceito de racismo institucional, em relacao a sua pertinencia para pensar a realidade social brasileira, assim como ao seu vinculo com acoes, demandas e disputas do movimento negro contemporaneo frente ao poder publico. O racismo institucional atua de forma difusa no funcionamento cotidiano de instituicoes e organizacoes, provocando uma desigualdade na distribuicao de servicos, beneficios e oportunidades aos diferentes segmentos da populacao do ponto de vista racial. Aponta-se que, para sua desconstrucao, e preciso a implementacao de politicas publicas que provoquem um processo de desrracializacao, assim como gerar reflexoes academicas de como operam esses mecanismos. Na area da saude, eles podem ser analisados como dispositivos de biopoder, na medida em que gerenciam a vida da populacao sob um olhar racial. Demanda-se a necessidade de realizacao de pesquisas qualitativas de abordagem etnografica que reflitam sobre como operam esses dispositivos no cotidiano das instituicoes.""",,
artivo274,"""RACISMO: UMA QUESTAO DE SAUDE PUBLICA E DE GESTAO NA PERSPECTIVA DE GENERO.(Bibliografia)""","""Ferreira_ Claudia Aparecida Avelar""","""Revista de Gestao em Sistemas de Saude, 2018, Vol.7(2), p.143(14) [Periódico revisado por pares]""","""As iniquidades em saude estao associadas as demandas socioeconomicas, raciais e de genero, e a mulher negra encontra-se em condicoes de desvantagem devido o mito da democracia racial, nao recebendo um tratamento humanizado como as mulheres brancas. O objetivo do estudo foi fazer uma revisao de literatura sobre o racismo e as consequencias na saude em termos de genero alinhado a gestao usando como metodo a revisao narrativa. O racismo institucional fortalece as mazelas contra as mulheres negras demonstrando a necessidade de uma gestao eficiente em saber lidar com os grupos considerados minoritarios no sistema capitalista, tendo como proposta uma lideranca inclusiva, para treinar, capacitar e fortalecer o dialogo sobre a desnaturalizacao do racismo e reduzir o indice de doencas prevalentes nesta populacao e tambem o absenteismo. Como o racismo e historico e as vicissitudes de um preconceito de marca sugere-se desconstruir este mito de democracia racial de forma continua nas instituicoes publicas,privadas e filantropicas, atraves da reestruturacao das politicas publicas, valorizacao e reconhecimento do potencial das mulheres e principalmente mulheres negras.""","""Raca Racismo institucional Gestao Saude publica Adoecimento""","""Cengage Learning"""
artivo275,"""LEI DE COTAS: UMA AVALIAÇÃO DAS INSCRIÇÕES NO INSTITUTO FEDERAL DE MINAS GERAIS UTILIZANDO KDD""","""Dias_ Márcio | Bax_ Marcello""","""Revista Electronica de Sistemas de Informaçao, Jan/Apr 2016, Vol.15(1), pp.1-19 [Periódico revisado por pares]""","""The article reports a case study to analyze the effectiveness of the places reserved in federal educational institutions by the Brazilian Affirmative Action Law. The study contextualizes the law and its implementation at the Federal Institute of Education, Science and Technology of Minas Gerais (IFMG), and sought to evaluate the actual occupancy of the reserved places; to verify the extent to which people who have used their right to the reserve; and realize what was the percentage of people registered to places without the right to do so. Based on concepts of Knowledge Discovery in Databases, the study describes data extraction and preparation and applied a datamining tool to the extracted data. Data refer to entries in the selection process and enrollment in IFMG for a period of just over a year. The results are analyzed, showing that a significant proportion of reserved places were not occupied; that many candidates who could register for reserved spaces did not; and that many candidates... © """,,"""ProQuest"""
artivo276,"""Normas e redistribuicao: um estudo sobre condicionantes internacionais das politicas de combate ao racismo no Brasil.(Report)""","""Godinho_ Rodrigo De Oliveira""","""Revista Brasileira de Politica, Jan, 2009, Vol.52(1), p.71(18) [Periódico revisado por pares]""","""Neste artigo, examina-se como a exposicao do Estado a normas internacionais pode condicionar a implementacao de politicas redistributivas, a partir de estudo de caso relativo ao combate a discriminacao racial no Brasil, no periodo 1995-2005. Conclui que o processo de preparacao e de seguimento da Conferencia de Durban teria viabilizado equilibrio propicio a implementacao de politicas de acao afirmativa.""","""Redistribuicao; Normas; Discriminacao racial; Acao afirmativa This paper analyzes how the State acceptance of international norms may influence the implementation of redistributive policies, based on a case study of policies against racial discrimination in Brazil, from 1995 to 2005 It argues that the preparation of and the follow-up to the Durban Conference would have increased the political feasibility of affirmative action policies in Brazil Key words Redistribution; Norms; Racial discrimination; Affirmative action""","""Cengage Learning"""
artivo277,"""DIREITOS FUNDAMENTAIS COMO ESTRATEGIAS ANTI-HEGEMONICAS: UM ESTUDO SOBRE A MULTIDIMENSIONALIDADE DE OPRESSOES""","""Moreira_ Adilson Jose""","""Quaestio Iuris, 2016, Vol.9(3), p.1559(46) [Periódico revisado por pares]""","""Este artigo afirma que as teorias tradicionais sobre as funcoes dos direitos fundamentais nao oferecem parametros suficientes para a promocao da emancipacao de minorias dentro de minorias, como e o caso de pessoas que sao negras e tambem homossexuais. Primeiro porque elas ignoram o impacto do pertencimento a grupos minoritarios no exercicio da cidadania; parte-se do pressuposto de que os cidadaos existem apenas como individuos. Segundo porque os que elaboram demandas de direitos em nome dessas pessoas desconsideram a diversidade interna da propria comunidade, consequencia das hierarquias de poder nela existentes. Em funcao disso, a experiencia de marginalizacao desses individuos permanece invisivel aos olhos do direito porque nao encontram expressao adequada nas articulacoes politicas por justica racial e sexual. Com o intuito de apontar uma possivel solucao para o problema descrito, este trabalho utiliza teorias complexas de discriminacao e de igualdade para demonstrar o potencial emancipatorio de decisoes judiciais recentes que afirmaram a constitucionalidade de cotas raciais e que reconheceram a identidade sexual como uma categoria merecedora de protecao juridica. Esses acordaos promoveram transformacoes sociais que podem modificar padroes sociais que impedem a igualdade de status entre grupos.""","""direitos fundamentais, minorias, igualdade, multidimensionalidade""","""Cengage Learning"""
artivo278,"""Políticas sociais: conceitos, trajetórias e a experiência brasileira""","""Alves_ Hayda Jun 2019""","""Em Pauta, 2016, Vol.14(37), p.357(5) [Periódico revisado por pares]""","""Taking as a starting point the work of Aimé Césaire in his decisive formulation of the concept of négritude, I propose a reflection about this concept in different historical moments, answering to political and cultural demands of each context. Thus, this article intends to focus on two feminine poetic voices that, in different ways, echo the principles of négritude, reinterpreting it in its specific agendas: Noémia de Sousa inserted in the Portuguese and African environment of the 1950s, and the Brazilian Singer Luedji Luna, Who ressignifies central issues of the same theme in the Brazilian context after affirmative actions. Through the approach of these two voices of diasporic Black women, I intend to identify transnational networks of planetary solidarity construction in a feminist perspective. © """,,"""ProQuest"""
artivo279,"""Remaking Racial Inclusion: Combining Race and Class in Brazil's New Affirmative Action""","""Peria_ Michelle | Bailey_ Stanley R""","""Latin American and Caribbean Ethnic Studies, 04 May 2014, Vol.9(2), pp.156-176 [Periódico revisado por pares]""","""New multicultural regimes now characterize much of Latin America, creating opportunities for ethno-racial populations to fight for social inclusion. Yet, the literature identifies uneven patterns of success in those endeavors. Scholars argue... Taylor & Francis (Taylor & Francis Group)""",,
artivo280,"""Protagonismo da clinica de direitos humanos e meio ambiente da universidade federal de mato grosso e sua atuacao politica e multicultural.(texto en portugues)""","""Irigaray_ Carlos Teodoro Jose Hugueney""","""Revista Brasileira de Pos-Graduacao, 2014, Vol.11(23), p.193(23) [Periódico revisado por pares""","""Este artigo analisa a concepcao e o funcionamento da Clinica de Direitos Humanos e Meio Ambiente da Universidade Federal de Mato Grosso, a partir do contexto em que ela se insere e de seu escopo multicultural, que envolve nao apenas a protecao do ambiente natural e sua rica biodiversidade, mas tambem dos direitos dos povos indigenas e populacoes tradicionais, revelando tratar-se de um espaco de pesquisa e extensao em que o ativismo de professores comprometidos com a mudanca social pode contribuir para a construcao de um modelo de desenvolvimento com mais sustentabilidade e justica social.""",,
artivo281,"""O PROCESSO DE RECONHECIMENTO DOS DIREITOS DOS POVOS INDIGENAS NA AMERICA LATINA SOB A EGIDE DO SISTEMA INTERAMERICAMO DE PROTECAO DOS DIREITOS HUMANOS""","""Dos Santos_ Denise Tatiane Girardon""","""Quaestio Iuris, 2014, Vol.7(1), p.185(22) [Periódico revisado por pares]""","""No presente artigo sera discutido, brevemente, o processo de internacionalizacao dos direitos humanos e a formacao do Sistema Internacional dos Direitos Humanos, com enfase ao Sistema Americano de Protecao dos Direitos Humanos. Sera, ainda, promovida uma analise geral sobre a organizacao, os movimentos e as manifestacoes, promovidas pelos povos originarios na America Latina, destacando- se na seara internacional. Com isso, discorrer-se-a sobre alguns dos principais documentos Internacionais de protecao dos direitos, como a Convencao Americana de Direitos Humanos, a Convencao no. 169 sobre Povos Indigenas e Tribais, a Convencao sobre a Diversidade Cultural e a Declaracao das Nacoes Unidas sobre os Direitos dos Povos Indigenas. Por fim, promover-se-a uma analise nas Constituicoes Federais do Brasil, da Bolivia e do Equador, a fim de identificar os principais direitos assegurados e as formas para a sua efetivacao. Palavras-Chave: Direitos Humanos; America Latina; Povos indigenas. """,,"""Cengage Learning"""
artivo282,"""Higher Education in Brazil in the last years: reduction in inequalities of access?""","""Salata_ André""","""Tempo Social, 2018, Vol.30(2), pp.219-253 [Periódico revisado por pares]""","""In the last decades, we can identify a significant expansion of higher education in Brazil, accompanied by important changes in the socioeconomic composition of the students. The main objective of this study is to verify if these movements also led to... © """,,"""ProQuest"""
artivo283,"""Violência e racismo: novas faces de uma afinidade reiterada""","""Sinhoretto_ Jacqueline | Morais_ Danilo""","""Revista de Estudios Sociales, Apr-Jun 2018, Issue 64, pp.15-26 [Periódico revisado por pares]""","""Nos anos recentes, o viés racial na configuraçâo de mortes violentas no Brasil se evidenciou. Especialmente na populaçâo jovem, há o crescimento de homicidios entre negros e a reduçâo entre brancos, o que significa o crescimento da desigualdade na vivencia da violencia entre os grupos raciais. O monitoramento... © """,,"""ProQuest"""
artivo284,"""Crédito educativo, acciones afirmativas y equidad social en la educación superior en Colombia""","""Campo_ Víctor | Giraldo_ Jorge""","""Revista de Estudios Sociales, Aug 2009, Issue 33, pp.106-117 [Periódico revisado por pares]""","""A subsidized student loan program for lower-income students (the ACCES Program) has been designed in Colombia to achieve greater social equality in access to higher education. This program exemplifies the 'focalization' approach in social policy. This program is analyzed in the context of supply and demand of higher education opportunities for these students. Results show that instead of investing in the expansion of quality, public higher education (that is to say, a universalistic social policy approach), this student loan program transfers the financing of higher education, generally at private institutions, to lower-income students themselves through private debt. This leads to a situation of extreme inequity. These lower-income students, who have generally received a low-quality education, cannot compete for the few highly selective spots in public higher education programs, and thus have to take out loans in order to finance their education in private institutions. This analysis clarifies... © """,,"""ProQuest"""
artivo285,"""UNIDAD EN TENSION: RESISTENCIAS AL RECONOCIMIENTO DE LAS DIVERSIDADES ETNICO-RACIALES NEGRAS EN BOGOTA.(Report)""","""Leon Diaz_ Ruby Esther""","""Eleuthera, 2014, Vol.10, p.76(20) [Periódico revisado por pares]""","""El presente articulo reflexiona sobre las tensiones, contradicciones y enfasis de la puesta en practica del discurso de nacion multicultural para las personas negras, consagrado en la Constitucion politica colombiana desde la decada de los 90. El analisis tiene como referente el estudio de la politica publica para afrodescendientes en Bogota (2005-2012) ***. Palabras clave: unidad, desigualdad, reconocimiento, diversidad etnico-racial, politicas publicas (Bogota), agenda etnica, afrodescendientes.""",,
artivo286,"""IMAGEM E REPRESENTACAO SOCIAL DA AFRICA NO BRASIL: A GEOPOLITICA AFRICANA DO GOVERNO LULA""","""Penha_ Eli Alves""","""Ciencia & Saude Coletiva, Oct, 2012, Vol.17(10), p.2569(10) [Periódico revisado por pares]""","""O artigo tem por objetivo estabelecer questoes acerca do tema Homens, Saude e Politicas Publicas para a viabilizacao do debate sobre o assunto, com base em referencias teoricas e empiricas relacionadas a essas questoes. Inicialmente, alguns marcos historicos de tematica sao apresentados para que melhor se situe o debate. Em seguida, apresenta-se panorama da agenda de genero nas politicas publicas para se introduzir a discussao acerca da insercao dessa perspectiva no ambito das politicas de saude. Apos essa discussao, aborda-se o questionamento sobre o fato de as politicas de saude dos homens promoverem ou nao a equidade de genero. Nas consideracoes finais, aponta-se para a complexidade que envolve a elaboracao, a implementacao e a avaliacao das politicas de saude que visam a equidade de genero, bem como se destaca a necessidade de a politica brasileira voltada para a saude dos homens articular-se com outras politicas para que a matriz de genero seja transversal no campo da saude""",,
artivo287,"""A TRADUCAO DE MULHERES NEGRAS NO CONJUNTO DE SUAS ACUES POLITICAS""","""de Melo_ Israel V-""","""Revista Artemis, 2019, Vol.27(1), p.144(14) [Periódico revisado por pares]""","""If we evaluate the context of knowledge production within the framework of black feminist epistemologies, we would come to a list of certain social configurations that hinder the interaction between political movements of black women in a global scope. In principle, the first social configuration that makes it difficult to reach this goal is focused on the multilingual reality. Thus, it is lost in the Brazilian national context in which the Spanish, French, English, Indigenous and Native languages are not spoken, since what black women produce in a foreign language attains less prominence in their large-scale political actions and also what is produced outside of Brazil. It becomes indispensable the translation of the epistemologies produced by black women, both in the theoretical-academic scope as in the literary, since, paraphrasing Sonia E. Alvarez (2009, 2014), translation is theoretically and politically essential to construct feminist political alliances. The... """,,"""Cengage Learning"""
artivo288,"""Da Guiné-Bissau à Colômbia. Benkos Biohó, resistência e (é) palenque. Um caso da diáspora africana""","""Valencia_ Henry""","""CS Ciencias Sociales, May-Aug 2015, Issue 16, pp.234-242 [Periódico revisado por pares]""","""In this article I mention the case of Benkos Biohó as a symbolic figure of the african, afrodescendant and afrocolombian resistance, conducted by the ""palenques"" (known as ""quilombos"" in Brazil), manifestations of resistance that started in Africa and were reproduced later in America during human traffic,... © """,,"""ProQuest"""
